Date,Open,High,Low,Close,Adj Close,Volume
1/31/2020,134.05,134.1,133.99,134.02,132.0135,1528800
2/3/2020,134.14,134.28,134.06,134.2,132.1908,1468300
2/4/2020,134.25,134.31,134.08,134.08,132.0726,1590700
2/5/2020,134.2,134.31,134.07,134.22,132.2105,3121100
2/6/2020,134.28,134.29,134.12,134.12,132.112,1151500
2/7/2020,134.15,134.2,134.07,134.11,132.1021,1479600
2/10/2020,134.1,134.26,134.06,134.21,132.2007,1242100
2/11/2020,134.2,134.34,134.18,134.27,132.2598,1219600
2/12/2020,134.26,134.39,134.23,134.31,132.2991,1329800
2/13/2020,134.27,134.38,134.27,134.36,132.3484,1403500
2/14/2020,134.3,134.42,134.21,134.27,132.2598,917000
2/18/2020,134.25,134.32,134.25,134.27,132.2598,866300
2/19/2020,134.25,134.28,134.21,134.25,132.2401,1247300
2/20/2020,134.21,134.27,133.73,134.19,132.181,1325900
2/21/2020,134.19,134.29,134.12,134.24,132.2302,934400
2/24/2020,133.81,134.15,133.61,133.96,131.9544,2229200
2/25/2020,134.01,134.06,133.7,133.75,131.7475,3979800
2/26/2020,133.92,134,133.51,133.51,131.5111,3635300
2/27/2020,133.34,133.5,132.99,133,131.0088,4433300
2/28/2020,132.75,133.77,132.68,133.59,131.5899,7694300
3/2/2020,133.6,133.83,133.22,133.67,131.6687,4772700
3/3/2020,133.67,134.07,133.11,133.36,131.3634,4056900
3/4/2020,133.75,133.78,133.5,133.69,131.6884,1710400
3/5/2020,133.3,133.6,132.83,133.25,131.255,2439600
3/6/2020,132.7,132.98,132.41,132.7,130.7133,3477100
3/9/2020,131.42,131.78,129.39,130.04,128.0931,6021500
3/10/2020,130.56,132.11,130.56,131.92,129.9449,6822900
3/11/2020,131.4,131.55,130.1,130.43,128.4772,5710400
3/12/2020,129.5,129.71,123.26,127.48,125.5714,6187100
3/13/2020,128.42,129.28,125.93,127.94,126.0245,4844200
3/16/2020,125,126.42,115.09,115.68,113.9481,5917400
3/17/2020,116.44,117.3,109.46,115.88,114.1451,7992200
3/18/2020,112.92,117.02,103.89,111.22,109.5548,5856700
3/19/2020,110.18,127.39,110,126,124.7642,5492100
3/20/2020,128,128.15,125.01,125.44,124.2097,4309700
3/23/2020,124,125.97,121.5,121.67,120.4767,3940500
3/24/2020,124.55,126.62,124.27,126.61,125.3682,2806300
3/25/2020,125.83,127.92,125,126.66,125.4177,3541000
3/26/2020,127.55,129.29,126.74,129.12,127.8536,5536400
3/27/2020,128,128.97,127.01,127.44,126.1901,2625400
3/30/2020,128,129.14,127.55,128.49,127.2298,2254100
3/31/2020,128,129.81,127.9,129.5,128.2299,2698000
4/1/2020,127.75,129.75,127.75,129.34,128.0714,2760000
4/2/2020,128.64,129.94,128.23,129.77,128.4972,1726400
4/3/2020,129,129.3,127.75,128.28,127.0218,1969300
4/6/2020,129.4,129.4,128.02,128.17,126.9129,2810300
4/7/2020,129.13,129.27,128.14,128.4,127.1407,2949000
4/8/2020,128.9,130.57,128.45,129.37,128.1011,3382100
4/9/2020,129.11,130,127.95,127.95,126.6951,5298200
4/13/2020,128.85,129,127.99,128.21,126.9525,2082700
4/14/2020,128.44,129.72,128.3,129.17,127.9031,3046400
4/15/2020,128.5,129.5,128.22,128.76,127.4971,1014300
4/16/2020,128.76,130.06,126.3,127.77,126.5168,4456000
4/17/2020,128.3,129.32,128.25,129.15,127.8833,1705900
4/20/2020,128.33,129.55,128.33,128.95,127.6853,1492100
4/21/2020,128.4,129.5,128.27,129.32,128.0517,707800
4/22/2020,129.35,129.45,127.27,128.07,126.8139,1753400
